zone,state_group,year,crop,area_ha,production_tonnes,yield_hg_ha,rainfall_mm_annual,temp_avg_celsius,humidity_pct,solar_radiation,latitude,longitude,fertilizer_n_kg,fertilizer_p_kg,fertilizer_k_kg,fertilizer_total_kg,fertilizer_n_kg_zone,fertilizer_p_kg_zone,fertilizer_k_kg_zone,fertilizer_total_kg_zone,fertilizer_kg_ha,wb_fertilizer_kg_ha,agric_gdp_share,rural_population,palm_area_kha,palm_production_kmt,palm_dom_consumption_kmt,palm_exports_kmt,palm_imports_kmt,palm_ending_stocks_kmt,cassava_usda_area_kha,cassava_usda_production_kmt,cassava_usda_exports_kmt
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2010,Cassava,882200,10054000,113966,1173.2,27.953735630246996,58.54433535560757,19.730462639215936,9.0,7.5,190000000,63000000,18000000,271000000,41800000.0,13860000.0,3960000.0,59620000.0,67.58,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2011,Cassava,891000,11528660,129390,934.4,26.33379289164226,58.30536349215608,20.57051026984724,9.0,7.5,198000000,66000000,18500000,282500000,43560000.0,14520000.0,4070000.0,62150000.0,69.75,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2012,Cassava,899800,11880000,131980,1161.8,27.83358993104009,55.14341005269586,20.913236812086563,9.0,7.5,210000000,70000000,19500000,299500000,46200000.0,15400000.0,4290000.0,65890000.0,73.23,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2013,Cassava,906400,12062600,133083,1081.0,27.53132222973238,55.74196525142411,19.81136789881248,9.0,7.5,225000000,75000000,20500000,320500000,49500000.0,16500000.0,4510000.0,70510000.0,77.79,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2014,Cassava,908600,12540000,138013,1248.5,27.57379304993794,61.285866236289046,21.126289101488457,9.0,7.5,240000000,80000000,21500000,341500000,52800000.0,17600000.0,4730000.0,75130000.0,82.69,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2015,Cassava,913000,13046000,142892,1131.1,27.03054880576813,62.04461035158502,20.001871999210174,9.0,7.5,265000000,88000000,23000000,376000000,58300000.0,19360000.0,5060000.0,82720000.0,90.6,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2016,Cassava,915200,13109140,143238,1264.7,27.30495168679568,56.53338925929249,20.761794891837376,9.0,7.5,280000000,93000000,24000000,397000000,61600000.0,20460000.0,5280000.0,87340000.0,95.43,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2017,Cassava,919600,13024000,141627,1208.8,27.751636052416472,56.597292466778065,21.43844359377242,9.0,7.5,295000000,98000000,25000000,418000000,64900000.0,21560000.0,5500000.0,91960000.0,100.0,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2018,Cassava,924000,13024000,140952,1076.1,27.015315557496464,60.4531226086451,20.28043275176399,9.0,7.5,310000000,103000000,26000000,439000000,68200000.0,22660000.0,5720000.0,96580000.0,104.52,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2019,Cassava,935000,13200000,141176,1143.4,27.60130055976509,59.488177219793364,21.45904868969088,9.0,7.5,320000000,107000000,27000000,454000000,70400000.0,23540000.0,5940000.0,99880000.0,106.82,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2020,Cassava,937200,13200000,140845,933.3,27.71580977996273,53.741832261269145,20.20571542205146,9.0,7.5,315000000,105000000,26500000,446500000,69300000.0,23100000.0,5830000.0,98230000.0,104.81,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2021,Cassava,941600,13420000,142523,1118.3,27.268660532745038,58.13421783133446,20.822395689505242,9.0,7.5,325000000,108000000,27500000,460500000,71500000.0,23760000.0,6050000.0,101310000.0,107.59,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2022,Cassava,946000,13530000,143023,1223.0,27.487701743115647,54.796519490008734,20.831872711118496,9.0,7.5,310000000,103000000,26000000,439000000,68200000.0,22660000.0,5720000.0,96580000.0,102.09,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2023,Cassava,952600,13640000,143187,1035.8,27.462338268777764,56.594951641595266,20.51456641861657,9.0,7.5,295000000,98000000,24500000,417500000,64900000.0,21560000.0,5390000.0,91850000.0,96.42,4.23860924278585,27.718291279131,86197462,3000,1150,1280.0,5,145.0,90.0,4330,62000,330
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2000,Cocoa beans,21600,17000,7870,1043.5,27.17397599057155,55.123208064296755,20.610638737852526,9.0,7.5,128000000,42000000,12000000,182000000,6400000.0,2100000.0,600000.0,9100000.0,421.3,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2001,Cocoa beans,21950,18000,8200,1016.1,27.888645716063188,53.820047749439915,20.803693808015325,9.0,7.5,132000000,44000000,13000000,189000000,6600000.0,2200000.0,650000.0,9450000.0,430.52,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2002,Cocoa beans,22250,19000,8539,1042.8,27.965647334010782,49.56453934017606,21.096739963024447,9.0,7.5,138000000,46000000,14000000,198000000,6900000.0,2300000.0,700000.0,9900000.0,444.94,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2003,Cocoa beans,22600,19000,8407,1052.7,27.537620174797016,55.5052580749828,20.840189660820243,9.0,7.5,142000000,48000000,14500000,204500000,7100000.0,2400000.0,725000.0,10225000.0,452.43,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2004,Cocoa beans,22950,20000,8714,1109.5,27.246484375270768,55.44622882304121,19.795044925297375,9.0,7.5,148000000,50000000,15000000,213000000,7400000.0,2500000.0,750000.0,10650000.0,464.05,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2005,Cocoa beans,23300,19500,8369,1064.9,27.36978167230721,58.94918813148577,20.17091074217158,9.0,7.5,155000000,52000000,15500000,222500000,7750000.0,2600000.0,775000.0,11125000.0,477.47,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2006,Cocoa beans,23650,20000,8456,832.8,26.58611878024262,50.362974593733355,20.343898409090908,9.0,7.5,162000000,54000000,16000000,232000000,8100000.0,2700000.0,800000.0,11600000.0,490.49,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2007,Cocoa beans,24000,21000,8750,1336.4,26.9165420606833,56.79661095214213,20.430266866026365,9.0,7.5,168000000,56000000,16500000,240500000,8400000.0,2800000.0,825000.0,12025000.0,501.04,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2008,Cocoa beans,24350,21000,8624,1153.8,28.01573134763239,54.30202632496148,21.215275861739194,9.0,7.5,175000000,58000000,17000000,250000000,8750000.0,2900000.0,850000.0,12500000.0,513.35,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2009,Cocoa beans,24500,22000,8980,1230.4,27.45449830147177,62.590959205312295,19.97544533107426,9.0,7.5,182000000,60000000,17500000,259500000,9100000.0,3000000.0,875000.0,12975000.0,529.59,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2010,Cocoa beans,24750,22500,9091,1173.2,27.953735630246996,58.54433535560757,19.730462639215936,9.0,7.5,190000000,63000000,18000000,271000000,9500000.0,3150000.0,900000.0,13550000.0,547.47,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2011,Cocoa beans,25000,23350,9340,934.4,26.33379289164226,58.30536349215608,20.57051026984724,9.0,7.5,198000000,66000000,18500000,282500000,9900000.0,3300000.0,925000.0,14125000.0,565.0,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2012,Cocoa beans,25350,24000,9467,1161.8,27.83358993104009,55.14341005269586,20.913236812086563,9.0,7.5,210000000,70000000,19500000,299500000,10500000.0,3500000.0,975000.0,14975000.0,590.73,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2013,Cocoa beans,25700,24750,9630,1081.0,27.53132222973238,55.74196525142411,19.81136789881248,9.0,7.5,225000000,75000000,20500000,320500000,11250000.0,3750000.0,1025000.0,16025000.0,623.54,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2014,Cocoa beans,25900,25500,9846,1248.5,27.57379304993794,61.285866236289046,21.126289101488457,9.0,7.5,240000000,80000000,21500000,341500000,12000000.0,4000000.0,1075000.0,17075000.0,659.27,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2015,Cocoa beans,26000,26000,10000,1131.1,27.03054880576813,62.04461035158502,20.001871999210174,9.0,7.5,265000000,88000000,23000000,376000000,13250000.0,4400000.0,1150000.0,18800000.0,723.08,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2016,Cocoa beans,26100,26500,10153,1264.7,27.30495168679568,56.53338925929249,20.761794891837376,9.0,7.5,280000000,93000000,24000000,397000000,14000000.0,4650000.0,1200000.0,19850000.0,760.54,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2017,Cocoa beans,26250,27000,10286,1208.8,27.751636052416472,56.597292466778065,21.43844359377242,9.0,7.5,295000000,98000000,25000000,418000000,14750000.0,4900000.0,1250000.0,20900000.0,796.19,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2018,Cocoa beans,26400,27500,10417,1076.1,27.015315557496464,60.4531226086451,20.28043275176399,9.0,7.5,310000000,103000000,26000000,439000000,15500000.0,5150000.0,1300000.0,21950000.0,831.44,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2019,Cocoa beans,26500,28250,10660,1143.4,27.60130055976509,59.488177219793364,21.45904868969088,9.0,7.5,320000000,107000000,27000000,454000000,16000000.0,5350000.0,1350000.0,22700000.0,856.6,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2020,Cocoa beans,26600,29000,10902,933.3,27.71580977996273,53.741832261269145,20.20571542205146,9.0,7.5,315000000,105000000,26500000,446500000,15750000.0,5250000.0,1325000.0,22325000.0,839.29,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2021,Cocoa beans,26750,29500,11028,1118.3,27.268660532745038,58.13421783133446,20.822395689505242,9.0,7.5,325000000,108000000,27500000,460500000,16250000.0,5400000.0,1375000.0,23025000.0,860.75,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2022,Cocoa beans,26850,30000,11173,1223.0,27.487701743115647,54.796519490008734,20.831872711118496,9.0,7.5,310000000,103000000,26000000,439000000,15500000.0,5150000.0,1300000.0,21950000.0,817.5,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2023,Cocoa beans,27000,30500,11296,1035.8,27.462338268777764,56.594951641595266,20.51456641861657,9.0,7.5,295000000,98000000,24500000,417500000,14750000.0,4900000.0,1225000.0,20875000.0,773.15,4.23860924278585,27.718291279131,86197462,3000,1150,1280.0,5,145.0,90.0,4330,62000,330
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2000,Maize,1254400,1150800,9174,1043.5,27.17397599057155,55.123208064296755,20.610638737852526,9.0,7.5,128000000,42000000,12000000,182000000,35840000.0,11760000.0,3360000.0,50960000.0,40.62,5.35714285714286,21.3572412972176,71686040,2120,720,740.0,10,30.0,45.0,3100,32000,200
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2001,Maize,1285200,1206800,9390,1016.1,27.888645716063188,53.820047749439915,20.803693808015325,9.0,7.5,132000000,44000000,13000000,189000000,36960000.0,12320000.0,3640000.0,52920000.0,41.18,6.19898460071246,24.4753546604632,72559112,2150,740,760.0,10,30.0,45.0,3200,34000,210
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2002,Maize,1341200,1615600,12046,1042.8,27.965647334010782,49.56453934017606,21.096739963024447,9.0,7.5,138000000,46000000,14000000,198000000,38640000.0,12880000.0,3920000.0,55440000.0,41.34,4.31467159829635,36.9650826661797,73437219,2180,760,790.0,10,30.0,40.0,3380,37953,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2003,Maize,1341200,2059120,15352,1052.7,27.537620174797016,55.5052580749828,20.840189660820243,9.0,7.5,142000000,48000000,14500000,204500000,39760000.0,13440000.0,4060000.0,57260000.0,42.69,6.01738570508693,33.8270605515687,74312783,2220,780,810.0,10,30.0,40.0,3570,40000,220
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2004,Maize,1349600,1829520,13555,1109.5,27.246484375270768,55.44622882304121,19.795044925297375,9.0,7.5,148000000,50000000,15000000,213000000,41440000.0,14000000.0,4200000.0,59640000.0,44.19,4.44963777237,27.2304536006497,75184138,2260,800,840.0,10,30.0,40.0,3720,43410,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2005,Maize,1349600,1988000,14730,1064.9,27.36978167230721,58.94918813148577,20.17091074217158,9.0,7.5,155000000,52000000,15500000,222500000,43400000.0,14560000.0,4340000.0,62300000.0,46.16,7.24118271756749,26.0892828250796,76038866,2290,820,860.0,10,40.0,40.0,3820,45721,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2006,Maize,1349600,2156000,15975,832.8,26.58611878024262,50.362974593733355,20.343898409090908,9.0,7.5,162000000,54000000,16000000,232000000,45360000.0,15120000.0,4480000.0,64960000.0,48.13,10.3152677723795,24.7349912601339,76887720,2330,840,890.0,10,50.0,45.0,3900,48064,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2007,Maize,1352400,2100000,15528,1336.4,26.9165420606833,56.79661095214213,20.430266866026365,9.0,7.5,168000000,56000000,16500000,240500000,47040000.0,15680000.0,4620000.0,67340000.0,49.79,4.34054958850607,24.6625772142283,77804901,2380,860,920.0,10,60.0,50.0,3950,43418,230
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2008,Maize,1355200,2212000,16322,1153.8,28.01573134763239,54.30202632496148,21.215275861739194,9.0,7.5,175000000,58000000,17000000,250000000,49000000.0,16240000.0,4760000.0,70000000.0,51.65,5.89698135295593,25.2797507802655,78717888,2420,880,950.0,10,70.0,55.0,4000,44582,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2009,Maize,1400000,2240000,16000,1230.4,27.45449830147177,62.590959205312295,19.97544533107426,9.0,7.5,182000000,60000000,17500000,259500000,50960000.0,16800000.0,4900000.0,72660000.0,51.9,4.56587654588848,26.7488545066519,79623758,2460,900,980.0,10,80.0,60.0,3980,44564,240
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2010,Maize,1428000,2290400,16039,1173.2,27.953735630246996,58.54433535560757,19.730462639215936,9.0,7.5,190000000,63000000,18000000,271000000,53200000.0,17640000.0,5040000.0,75880000.0,53.14,11.2145520311631,23.8937040912791,80525477,2500,920,1020.0,5,95.0,55.0,4010,45700,250
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2011,Maize,1456000,2520000,17308,934.4,26.33379289164226,58.30536349215608,20.57051026984724,9.0,7.5,198000000,66000000,18500000,282500000,55440000.0,18480000.0,5180000.0,79100000.0,54.33,6.20177365099664,22.2347109931956,81421843,2540,940,1040.0,5,100.0,60.0,4050,52403,270
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2012,Maize,1484000,2660000,17925,1161.8,27.83358993104009,55.14341005269586,20.913236812086563,9.0,7.5,210000000,70000000,19500000,299500000,58800000.0,19600000.0,5460000.0,83860000.0,56.51,8.42718662333694,21.8599586165277,82281965,2590,960,1050.0,5,100.0,65.0,4090,54000,280
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2013,Maize,1498000,2716000,18131,1081.0,27.53132222973238,55.74196525142411,19.81136789881248,9.0,7.5,225000000,75000000,20500000,320500000,63000000.0,21000000.0,5740000.0,89740000.0,59.91,8.50913026586002,20.7586228322439,83078003,2640,980,1070.0,5,100.0,65.0,4120,54830,290
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2014,Maize,1512000,2772000,18333,1248.5,27.57379304993794,61.285866236289046,21.126289101488457,9.0,7.5,240000000,80000000,21500000,341500000,67200000.0,22400000.0,6020000.0,95620000.0,63.24,8.95755004713581,19.9902547680805,83796300,2680,1000,1090.0,5,100.0,70.0,4130,57000,300
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2015,Maize,1526000,2856000,18716,1131.1,27.03054880576813,62.04461035158502,20.001871999210174,9.0,7.5,265000000,88000000,23000000,376000000,74200000.0,24640000.0,6440000.0,105280000.0,68.99,7.96584203673435,20.6318934800012,84405544,2720,1010,1100.0,5,100.0,75.0,4150,59300,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2016,Maize,1540000,2940000,19091,1264.7,27.30495168679568,56.53338925929249,20.761794891837376,9.0,7.5,280000000,93000000,24000000,397000000,78400000.0,26040000.0,6720000.0,111160000.0,72.18,10.734949763348,20.9831097083173,84937802,2760,1020,1120.0,5,110.0,70.0,4160,59587,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2017,Maize,1554000,2996000,19279,1208.8,27.751636052416472,56.597292466778065,21.43844359377242,9.0,7.5,295000000,98000000,25000000,418000000,82600000.0,27440000.0,7000000.0,117040000.0,75.32,20.295907079646,20.8465714300542,85411312,2800,1040,1140.0,5,110.0,65.0,4180,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2018,Maize,1568000,3080000,19643,1076.1,27.015315557496464,60.4531226086451,20.28043275176399,9.0,7.5,310000000,103000000,26000000,439000000,86800000.0,28840000.0,7280000.0,122920000.0,78.39,18.8412959912136,21.203773720121,85755936,2840,1060,1170.0,5,120.0,70.0,4200,59200,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2019,Maize,1579200,3136000,19858,1143.4,27.60130055976509,59.488177219793364,21.45904868969088,9.0,7.5,320000000,107000000,27000000,454000000,89600000.0,29960000.0,7560000.0,127120000.0,80.5,18.6103276198742,25.7349305726601,85970564,2880,1080,1200.0,5,130.0,75.0,4250,60000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2020,Maize,1587600,3136000,19753,933.3,27.71580977996273,53.741832261269145,20.20571542205146,9.0,7.5,315000000,105000000,26500000,446500000,88200000.0,29400000.0,7420000.0,125020000.0,78.75,22.5588522456064,28.3454204380593,86099297,2920,1090,1210.0,5,135.0,80.0,4260,60000,310
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2021,Maize,1596000,3220000,20175,1118.3,27.268660532745038,58.13421783133446,20.822395689505242,9.0,7.5,325000000,108000000,27500000,460500000,91000000.0,30240000.0,7700000.0,128940000.0,80.79,17.9649598611412,29.3882780431661,86166415,2950,1110,1240.0,5,140.0,85.0,4280,61000,320
North Central,"Benue, Niger, Plateau, Kogi, Kwara, Nasarawa, FCT",2022,Maize,1601600,3276000,20455,1223.0,27.487701743115647,54.796519490008734,20.831872711118496,9.0,7.5,310000000,103000000,26000000,439000000,86800000.0,28840000.0,7280000.0,122920000.0,76.75,7.28113473638533,28.5515522199731,86197021,2980,1130,1260.0,5,140.0,90.0,4300,61500,320
